Code du Département;Date;Nb actuellement hospitalisés;Nb actuellement en soins intensifs;Total retour à domicile;Total Décès;Code région;Code ISO 3166 de la zone;Nom région;Nom Département;Sexe;Geo Point;Nb Quotidien Admis Hospitalisation;Nb Quotidien Admis Réanimation;Nb Quotidien Décès;Nb Quotidien Retour à Domicile
56;2020-03-21;28;3;16;5;53;FRA;Bretagne;Morbihan;Femme;47.8441455862,-2.8088066223;;;;
29;2020-03-24;10;0;9;1;53;FRA;Bretagne;Finistère;Femme;48.2628706879,-4.05692098846;;;;
29;2020-03-25;33;9;17;5;53;FRA;Bretagne;Finistère;Tous;48.2628706879,-4.05692098846;10;4;0;3
56;2020-03-25;44;12;24;12;53;FRA;Bretagne;Morbihan;Homme;47.8441455862,-2.8088066223;;;;
22;2020-03-27;32;5;3;1;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443,-2.86206319142;10;1;0;0
35;2020-03-28;65;16;40;5;53;FRA;Bretagne;Ille-et-Vilaine;Tous;48.1584949366,-1.63554809717;19;5;2;3
22;2020-03-29;36;5;8;3;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443,-2.86206319142;5;1;1;2
22;2020-03-29;13;3;4;3;53;FRA;Bretagne;Côtes-d'Armor;Homme;48.4390612443,-2.86206319142;;;;
56;2020-03-29;32;2;41;12;53;FRA;Bretagne;Morbihan;Femme;47.8441455862,-2.8088066223;;;;
35;2020-04-04;83;30;51;10;53;FRA;Bretagne;Ille-et-Vilaine;Homme;48.1584949366,-1.63554809717;;;;
35;2020-04-06;156;49;88;20;53;FRA;Bretagne;Ille-et-Vilaine;Tous;48.1584949366,-1.63554809717;16;2;3;5
22;2020-04-08;66;13;45;14;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443,-2.86206319142;2;0;1;3
56;2020-04-11;81;32;104;35;53;FRA;Bretagne;Morbihan;Homme;47.8441455862,-2.8088066223;;;;
22;2020-04-16;35;2;42;9;53;FRA;Bretagne;Côtes-d'Armor;Femme;48.4390612443,-2.86206319142;;;;
35;2020-04-16;85;11;70;20;53;FRA;Bretagne;Ille-et-Vilaine;Femme;48.1584949366,-1.63554809717;;;;
56;2020-04-17;45;4;102;27;53;FRA;Bretagne;Morbihan;Femme;47.8441455862,-2.8088066223;;;;
22;2020-04-19;31;5;45;14;53;FRA;Bretagne;Côtes-d'Armor;Homme;48.4390612443,-2.86206319142;;;;
29;2020-04-22;46;16;70;19;53;FRA;Bretagne;Finistère;Homme;48.2628706879,-4.05692098846;;;;
35;2020-04-24;93;11;144;34;53;FRA;Bretagne;Ille-et-Vilaine;Homme;48.1584949366,-1.63554809717;;;;
22;2020-04-27;52;6;122;24;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443,-2.86206319142;2;0;0;0
29;2020-04-30;29;5;52;14;53;FRA;Bretagne;Finistère;Femme;48.2628706879,-4.05692098846;;;;
35;2020-04-30;90;11;160;36;53;FRA;Bretagne;Ille-et-Vilaine;Homme;48.1584949366,-1.63554809717;;;;
22;2020-03-18;1;1;1;0;53;FRA;Bretagne;Côtes-d'Armor;Homme;48.4390612443,-2.86206319142;;;;
22;2020-04-20;34;2;45;9;53;FRA;Bretagne;Côtes-d'Armor;Femme;48.4390612443,-2.86206319142;;;;
29;2020-04-20;97;25;108;31;53;FRA;Bretagne;Finistère;Tous;48.2628706879,-4.05692098846;0;0;1;3
22;2020-04-24;25;4;57;15;53;FRA;Bretagne;Côtes-d'Armor;Homme;48.4390612443,-2.86206319142;;;;
22;2020-04-25;52;6;121;24;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443,-2.86206319142;4;0;0;6
56;2020-04-25;69;14;148;47;53;FRA;Bretagne;Morbihan;Homme;47.8441455862,-2.8088066223;;;;
22;2020-03-24;11;2;3;1;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443,-2.86206319142;4;2;0;0
56;2020-03-24;41;12;19;10;53;FRA;Bretagne;Morbihan;Homme;47.8441455862,-2.8088066223;;;;
22;2020-03-25;15;2;3;1;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443,-2.86206319142;6;0;0;0
35;2020-03-25;13;2;13;0;53;FRA;Bretagne;Ille-et-Vilaine;Femme;48.1584949366,-1.63554809717;;;;
29;2020-03-27;41;9;23;5;53;FRA;Bretagne;Finistère;Tous;48.2628706879,-4.05692098846;5;1;0;3
56;2020-04-01;76;27;40;19;53;FRA;Bretagne;Morbihan;Homme;47.8441455862,-2.8088066223;;;;
35;2020-04-06;94;35;56;12;53;FRA;Bretagne;Ille-et-Vilaine;Homme;48.1584949366,-1.63554809717;;;;
56;2020-04-06;56;4;62;20;53;FRA;Bretagne;Morbihan;Femme;47.8441455862,-2.8088066223;;;;
35;2020-04-14;190;36;152;44;53;FRA;Bretagne;Ille-et-Vilaine;Tous;48.1584949366,-1.63554809717;18;1;4;8
56;2020-04-15;73;27;117;41;53;FRA;Bretagne;Morbihan;Homme;47.8441455862,-2.8088066223;;;;
22;2020-04-19;65;7;90;23;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443,-2.86206319142;1;0;0;5
56;2020-03-18;39;14;63;7;53;FRA;Bretagne;Morbihan;Tous;47.8441455862,-2.8088066223;;;;
56;2020-04-29;73;13;155;48;53;FRA;Bretagne;Morbihan;Homme;47.8441455862,-2.8088066223;;;;
29;2020-03-18;8;4;2;0;53;FRA;Bretagne;Finistère;Homme;48.2628706879,-4.05692098846;;;;
22;2020-05-03;23;2;67;16;53;FRA;Bretagne;Côtes-d'Armor;Homme;48.4390612443,-2.86206319142;;;;
22;2020-05-05;51;3;143;26;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443,-2.86206319142;3;0;0;3
22;2020-03-24;7;1;2;0;53;FRA;Bretagne;Côtes-d'Armor;Femme;48.4390612443,-2.86206319142;;;;
29;2020-03-26;27;7;8;4;53;FRA;Bretagne;Finistère;Homme;48.2628706879,-4.05692098846;;;;
35;2020-03-27;21;3;15;0;53;FRA;Bretagne;Ille-et-Vilaine;Femme;48.1584949366,-1.63554809717;;;;
22;2020-03-31;15;3;4;3;53;FRA;Bretagne;Côtes-d'Armor;Homme;48.4390612443,-2.86206319142;;;;
22;2020-04-02;32;11;7;5;53;FRA;Bretagne;Côtes-d'Armor;Homme;48.4390612443,-2.86206319142;;;;
56;2020-04-03;143;29;98;37;53;FRA;Bretagne;Morbihan;Tous;47.8441455862,-2.8088066223;13;6;2;4
22;2020-04-09;64;12;49;16;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443,-2.86206319142;6;1;2;4
35;2020-04-09;173;48;117;27;53;FRA;Bretagne;Ille-et-Vilaine;Tous;48.1584949366,-1.63554809717;13;2;0;4
56;2020-04-10;82;30;95;33;53;FRA;Bretagne;Morbihan;Homme;47.8441455862,-2.8088066223;;;;
22;2020-04-14;77;10;66;21;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443,-2.86206319142;9;0;1;4
56;2020-04-15;118;31;215;69;53;FRA;Bretagne;Morbihan;Tous;47.8441455862,-2.8088066223;3;0;4;9
35;2020-04-17;79;7;79;21;53;FRA;Bretagne;Ille-et-Vilaine;Femme;48.1584949366,-1.63554809717;;;;
22;2020-04-18;36;2;44;9;53;FRA;Bretagne;Côtes-d'Armor;Femme;48.4390612443,-2.86206319142;;;;
35;2020-04-23;70;5;96;32;53;FRA;Bretagne;Ille-et-Vilaine;Femme;48.1584949366,-1.63554809717;;;;
29;2020-04-25;76;18;122;35;53;FRA;Bretagne;Finistère;Tous;48.2628706879,-4.05692098846;1;0;1;1
35;2020-04-26;64;5;108;32;53;FRA;Bretagne;Ille-et-Vilaine;Femme;48.1584949366,-1.63554809717;;;;
22;2020-04-28;23;4;62;15;53;FRA;Bretagne;Côtes-d'Armor;Homme;48.4390612443,-2.86206319142;;;;
56;2020-03-21;62;11;28;12;53;FRA;Bretagne;Morbihan;Tous;47.8441455862,-2.8088066223;24;4;3;1
35;2020-03-22;27;13;18;1;53;FRA;Bretagne;Ille-et-Vilaine;Tous;48.1584949366,-1.63554809717;4;3;0;0
35;2020-03-24;9;2;13;0;53;FRA;Bretagne;Ille-et-Vilaine;Femme;48.1584949366,-1.63554809717;;;;
56;2020-03-26;29;1;31;8;53;FRA;Bretagne;Morbihan;Femme;47.8441455862,-2.8088066223;;;;
22;2020-04-01;24;2;8;2;53;FRA;Bretagne;Côtes-d'Armor;Femme;48.4390612443,-2.86206319142;;;;
29;2020-04-02;66;27;48;7;53;FRA;Bretagne;Finistère;Tous;48.2628706879,-4.05692098846;7;3;0;8
29;2020-04-03;48;26;26;4;53;FRA;Bretagne;Finistère;Homme;48.2628706879,-4.05692098846;;;;
35;2020-04-04;131;38;82;17;53;FRA;Bretagne;Ille-et-Vilaine;Tous;48.1584949366,-1.63554809717;13;3;1;10
56;2020-04-06;147;35;119;48;53;FRA;Bretagne;Morbihan;Tous;47.8441455862,-2.8088066223;10;1;3;6
56;2020-04-10;57;4;80;23;53;FRA;Bretagne;Morbihan;Femme;47.8441455862,-2.8088066223;;;;
22;2020-04-11;33;3;32;8;53;FRA;Bretagne;Côtes-d'Armor;Femme;48.4390612443,-2.86206319142;;;;
29;2020-04-12;123;38;82;13;53;FRA;Bretagne;Finistère;Tous;48.2628706879,-4.05692098846;7;1;0;1
56;2020-04-14;78;30;112;39;53;FRA;Bretagne;Morbihan;Homme;47.8441455862,-2.8088066223;;;;
35;2020-04-15;108;21;98;29;53;FRA;Bretagne;Ille-et-Vilaine;Homme;48.1584949366,-1.63554809717;;;;
29;2020-04-17;101;29;102;26;53;FRA;Bretagne;Finistère;Tous;48.2628706879,-4.05692098846;1;0;2;5
22;2020-04-19;34;2;45;9;53;FRA;Bretagne;Côtes-d'Armor;Femme;48.4390612443,-2.86206319142;;;;
22;2020-04-22;58;6;104;24;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443,-2.86206319142;2;0;0;3
22;2020-04-23;27;2;58;9;53;FRA;Bretagne;Côtes-d'Armor;Femme;48.4390612443,-2.86206319142;;;;
56;2020-04-24;132;17;260;75;53;FRA;Bretagne;Morbihan;Tous;47.8441455862,-2.8088066223;14;0;0;7
29;2020-04-26;75;17;122;36;53;FRA;Bretagne;Finistère;Tous;48.2628706879,-4.05692098846;0;0;1;0
29;2020-04-27;31;6;50;13;53;FRA;Bretagne;Finistère;Femme;48.2628706879,-4.05692098846;;;;
29;2020-04-29;64;14;128;37;53;FRA;Bretagne;Finistère;Tous;48.2628706879,-4.05692098846;0;0;0;2
35;2020-04-29;59;4;116;34;53;FRA;Bretagne;Ille-et-Vilaine;Femme;48.1584949366,-1.63554809717;;;;
56;2020-04-30;56;2;128;31;53;FRA;Bretagne;Morbihan;Femme;47.8441455862,-2.8088066223;;;;
56;2020-03-18;22;10;28;5;53;FRA;Bretagne;Morbihan;Homme;47.8441455862,-2.8088066223;;;;
56;2020-03-19;26;9;22;5;53;FRA;Bretagne;Morbihan;Homme;47.8441455862,-2.8088066223;;;;
22;2020-03-22;7;1;3;1;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443,-2.86206319142;0;0;0;0
56;2020-03-23;42;11;16;10;53;FRA;Bretagne;Morbihan;Homme;47.8441455862,-2.8088066223;;;;
56;2020-03-31;117;30;81;30;53;FRA;Bretagne;Morbihan;Tous;47.8441455862,-2.8088066223;13;3;1;4
29;2020-04-09;41;9;34;4;53;FRA;Bretagne;Finistère;Femme;48.2628706879,-4.05692098846;;;;
22;2020-04-13;74;11;62;20;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443,-2.86206319142;2;0;0;1
35;2020-04-13;184;35;144;40;53;FRA;Bretagne;Ille-et-Vilaine;Tous;48.1584949366,-1.63554809717;6;1;1;4
56;2020-04-16;115;30;221;71;53;FRA;Bretagne;Morbihan;Tous;47.8441455862,-2.8088066223;5;0;3;6
22;2020-04-18;70;7;85;23;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443,-2.86206319142;1;0;0;3
22;2020-04-18;34;5;41;14;53;FRA;Bretagne;Côtes-d'Armor;Homme;48.4390612443,-2.86206319142;;;;
56;2020-04-18;46;4;106;27;53;FRA;Bretagne;Morbihan;Femme;47.8441455862,-2.8088066223;;;;
29;2020-04-19;41;7;44;10;53;FRA;Bretagne;Finistère;Femme;48.2628706879,-4.05692098846;;;;
56;2020-04-20;49;4;107;28;53;FRA;Bretagne;Morbihan;Femme;47.8441455862,-2.8088066223;;;;
35;2020-04-22;71;7;93;30;53;FRA;Bretagne;Ille-et-Vilaine;Femme;48.1584949366,-1.63554809717;;;;
29;2020-04-25;45;12;71;21;53;FRA;Bretagne;Finistère;Homme;48.2628706879,-4.05692098846;;;;
22;2020-03-21;7;1;3;1;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443,-2.86206319142;2;1;0;0
22;2020-03-23;6;0;2;0;53;FRA;Bretagne;Côtes-d'Armor;Femme;48.4390612443,-2.86206319142;;;;
56;2020-03-28;93;25;74;25;53;FRA;Bretagne;Morbihan;Tous;47.8441455862,-2.8088066223;14;6;0;7
35;2020-04-02;86;30;41;8;53;FRA;Bretagne;Ille-et-Vilaine;Homme;48.1584949366,-1.63554809717;;;;
56;2020-04-02;84;26;43;20;53;FRA;Bretagne;Morbihan;Homme;47.8441455862,-2.8088066223;;;;
56;2020-04-02;54;4;52;15;53;FRA;Bretagne;Morbihan;Femme;47.8441455862,-2.8088066223;;;;
35;2020-04-03;43;7;29;6;53;FRA;Bretagne;Ille-et-Vilaine;Femme;48.1584949366,-1.63554809717;;;;
56;2020-04-04;78;21;52;24;53;FRA;Bretagne;Morbihan;Homme;47.8441455862,-2.8088066223;;;;
56;2020-04-04;58;3;58;16;53;FRA;Bretagne;Morbihan;Femme;47.8441455862,-2.8088066223;;;;
29;2020-04-10;70;32;41;7;53;FRA;Bretagne;Finistère;Homme;48.2628706879,-4.05692098846;;;;
56;2020-04-12;132;34;197;60;53;FRA;Bretagne;Morbihan;Tous;47.8441455862,-2.8088066223;7;2;1;4
29;2020-04-13;121;37;84;16;53;FRA;Bretagne;Finistère;Tous;48.2628706879,-4.05692098846;3;1;3;2
22;2020-04-14;38;3;36;9;53;FRA;Bretagne;Côtes-d'Armor;Femme;48.4390612443,-2.86206319142;;;;
56;2020-04-18;116;26;235;72;53;FRA;Bretagne;Morbihan;Tous;47.8441455862,-2.8088066223;11;1;1;11
22;2020-05-05;27;1;73;10;53;FRA;Bretagne;Côtes-d'Armor;Femme;48.4390612443,-2.86206319142;;;;
56;2020-04-30;71;12;158;49;53;FRA;Bretagne;Morbihan;Homme;47.8441455862,-2.8088066223;;;;
35;2020-05-02;57;4;121;35;53;FRA;Bretagne;Ille-et-Vilaine;Femme;48.1584949366,-1.63554809717;;;;
56;2020-05-04;120;15;301;83;53;FRA;Bretagne;Morbihan;Tous;47.8441455862,-2.8088066223;2;2;1;3
35;2020-04-21;93;17;134;33;53;FRA;Bretagne;Ille-et-Vilaine;Homme;48.1584949366,-1.63554809717;;;;
56;2020-04-21;67;19;134;46;53;FRA;Bretagne;Morbihan;Homme;47.8441455862,-2.8088066223;;;;
35;2020-04-22;97;16;136;33;53;FRA;Bretagne;Ille-et-Vilaine;Homme;48.1584949366,-1.63554809717;;;;
29;2020-04-23;79;20;121;34;53;FRA;Bretagne;Finistère;Tous;48.2628706879,-4.05692098846;3;0;3;2
35;2020-04-25;65;5;106;32;53;FRA;Bretagne;Ille-et-Vilaine;Femme;48.1584949366,-1.63554809717;;;;
29;2020-04-26;31;6;50;13;53;FRA;Bretagne;Finistère;Femme;48.2628706879,-4.05692098846;;;;
29;2020-03-20;20;4;6;1;53;FRA;Bretagne;Finistère;Tous;48.2628706879,-4.05692098846;1;0;1;0
29;2020-03-23;11;1;3;3;53;FRA;Bretagne;Finistère;Homme;48.2628706879,-4.05692098846;;;;
22;2020-03-27;12;3;1;1;53;FRA;Bretagne;Côtes-d'Armor;Homme;48.4390612443,-2.86206319142;;;;
56;2020-03-27;28;1;35;10;53;FRA;Bretagne;Morbihan;Femme;47.8441455862,-2.8088066223;;;;
56;2020-03-28;62;23;36;15;53;FRA;Bretagne;Morbihan;Homme;47.8441455862,-2.8088066223;;;;
35;2020-03-29;84;15;51;5;53;FRA;Bretagne;Ille-et-Vilaine;Tous;48.1584949366,-1.63554809717;30;2;0;11
22;2020-03-31;24;2;6;1;53;FRA;Bretagne;Côtes-d'Armor;Femme;48.4390612443,-2.86206319142;;;;
22;2020-04-05;37;4;15;5;53;FRA;Bretagne;Côtes-d'Armor;Femme;48.4390612443,-2.86206319142;;;;
35;2020-04-06;62;14;32;8;53;FRA;Bretagne;Ille-et-Vilaine;Femme;48.1584949366,-1.63554809717;;;;
56;2020-04-09;56;3;75;23;53;FRA;Bretagne;Morbihan;Femme;47.8441455862,-2.8088066223;;;;
29;2020-04-10;40;8;36;5;53;FRA;Bretagne;Finistère;Femme;48.2628706879,-4.05692098846;;;;
22;2020-04-15;75;8;72;22;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443,-2.86206319142;5;0;1;6
22;2020-04-15;37;2;40;9;53;FRA;Bretagne;Côtes-d'Armor;Femme;48.4390612443,-2.86206319142;;;;
56;2020-04-19;71;21;128;46;53;FRA;Bretagne;Morbihan;Homme;47.8441455862,-2.8088066223;;;;
35;2020-04-30;150;15;277;70;53;FRA;Bretagne;Ille-et-Vilaine;Tous;48.1584949366,-1.63554809717;3;0;0;3
22;2020-05-02;29;2;69;10;53;FRA;Bretagne;Côtes-d'Armor;Femme;48.4390612443,-2.86206319142;;;;
56;2020-05-02;67;13;162;49;53;FRA;Bretagne;Morbihan;Homme;47.8441455862,-2.8088066223;;;;
29;2020-04-22;36;6;48;11;53;FRA;Bretagne;Finistère;Femme;48.2628706879,-4.05692098846;;;;
56;2020-04-26;68;14;150;47;53;FRA;Bretagne;Morbihan;Homme;47.8441455862,-2.8088066223;;;;
22;2020-04-27;30;2;60;9;53;FRA;Bretagne;Côtes-d'Armor;Femme;48.4390612443,-2.86206319142;;;;
29;2020-04-28;68;14;126;37;53;FRA;Bretagne;Finistère;Tous;48.2628706879,-4.05692098846;0;0;1;3
29;2020-04-29;29;5;52;14;53;FRA;Bretagne;Finistère;Femme;48.2628706879,-4.05692098846;;;;
35;2020-03-25;28;12;17;2;53;FRA;Bretagne;Ille-et-Vilaine;Homme;48.1584949366,-1.63554809717;;;;
35;2020-03-26;29;12;21;2;53;FRA;Bretagne;Ille-et-Vilaine;Homme;48.1584949366,-1.63554809717;;;;
35;2020-03-27;32;13;23;3;53;FRA;Bretagne;Ille-et-Vilaine;Homme;48.1584949366,-1.63554809717;;;;
29;2020-03-31;22;1;18;3;53;FRA;Bretagne;Finistère;Femme;48.2628706879,-4.05692098846;;;;
35;2020-04-03;129;36;72;16;53;FRA;Bretagne;Ille-et-Vilaine;Tous;48.1584949366,-1.63554809717;10;1;4;5
56;2020-04-08;154;34;149;55;53;FRA;Bretagne;Morbihan;Tous;47.8441455862,-2.8088066223;34;1;3;22
22;2020-04-10;35;8;26;9;53;FRA;Bretagne;Côtes-d'Armor;Homme;48.4390612443,-2.86206319142;;;;
35;2020-04-10;171;42;124;36;53;FRA;Bretagne;Ille-et-Vilaine;Tous;48.1584949366,-1.63554809717;15;1;9;8
29;2020-04-15;69;26;50;13;53;FRA;Bretagne;Finistère;Homme;48.2628706879,-4.05692098846;;;;
29;2020-04-15;45;8;38;7;53;FRA;Bretagne;Finistère;Femme;48.2628706879,-4.05692098846;;;;
22;2020-04-17;35;6;39;14;53;FRA;Bretagne;Côtes-d'Armor;Homme;48.4390612443,-2.86206319142;;;;
56;2020-04-27;125;16;268;76;53;FRA;Bretagne;Morbihan;Tous;47.8441455862,-2.8088066223;2;1;0;1
29;2020-04-28;38;9;74;23;53;FRA;Bretagne;Finistère;Homme;48.2628706879,-4.05692098846;;;;
56;2020-04-28;54;3;120;30;53;FRA;Bretagne;Morbihan;Femme;47.8441455862,-2.8088066223;;;;
29;2020-05-03;27;5;54;14;53;FRA;Bretagne;Finistère;Femme;48.2628706879,-4.05692098846;;;;
56;2020-03-18;17;4;35;2;53;FRA;Bretagne;Morbihan;Femme;47.8441455862,-2.8088066223;;;;
29;2020-04-20;58;18;62;19;53;FRA;Bretagne;Finistère;Homme;48.2628706879,-4.05692098846;;;;
56;2020-04-25;126;16;265;76;53;FRA;Bretagne;Morbihan;Tous;47.8441455862,-2.8088066223;1;0;1;6
29;2020-04-27;73;16;123;36;53;FRA;Bretagne;Finistère;Tous;48.2628706879,-4.05692098846;0;0;0;1
35;2020-04-29;90;11;158;36;53;FRA;Bretagne;Ille-et-Vilaine;Homme;48.1584949366,-1.63554809717;;;;
22;2020-03-19;0;0;2;0;53;FRA;Bretagne;Côtes-d'Armor;Femme;48.4390612443,-2.86206319142;;;;
35;2020-03-21;20;10;18;1;53;FRA;Bretagne;Ille-et-Vilaine;Tous;48.1584949366,-1.63554809717;8;3;0;1
22;2020-03-26;22;4;3;1;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443,-2.86206319142;7;3;0;0
29;2020-03-26;41;9;20;5;53;FRA;Bretagne;Finistère;Tous;48.2628706879,-4.05692098846;10;1;0;3
22;2020-03-27;20;2;2;0;53;FRA;Bretagne;Côtes-d'Armor;Femme;48.4390612443,-2.86206319142;;;;
29;2020-03-27;26;7;11;4;53;FRA;Bretagne;Finistère;Homme;48.2628706879,-4.05692098846;;;;
35;2020-04-07;88;31;65;14;53;FRA;Bretagne;Ille-et-Vilaine;Homme;48.1584949366,-1.63554809717;;;;
56;2020-04-08;57;4;72;23;53;FRA;Bretagne;Morbihan;Femme;47.8441455862,-2.8088066223;;;;
22;2020-04-11;36;9;27;10;53;FRA;Bretagne;Côtes-d'Armor;Homme;48.4390612443,-2.86206319142;;;;
35;2020-04-12;182;35;141;39;53;FRA;Bretagne;Ille-et-Vilaine;Tous;48.1584949366,-1.63554809717;16;0;0;6
56;2020-04-16;70;26;121;44;53;FRA;Bretagne;Morbihan;Homme;47.8441455862,-2.8088066223;;;;
22;2020-03-20;2;0;1;1;53;FRA;Bretagne;Côtes-d'Armor;Homme;48.4390612443,-2.86206319142;;;;
29;2020-03-21;20;2;6;1;53;FRA;Bretagne;Finistère;Tous;48.2628706879,-4.05692098846;0;1;0;0
29;2020-03-22;9;2;3;2;53;FRA;Bretagne;Finistère;Homme;48.2628706879,-4.05692098846;;;;
35;2020-03-22;21;11;8;1;53;FRA;Bretagne;Ille-et-Vilaine;Homme;48.1584949366,-1.63554809717;;;;
56;2020-03-22;47;12;12;8;53;FRA;Bretagne;Morbihan;Homme;47.8441455862,-2.8088066223;;;;
22;2020-03-25;11;2;2;0;53;FRA;Bretagne;Côtes-d'Armor;Femme;48.4390612443,-2.86206319142;;;;
29;2020-03-27;15;2;12;1;53;FRA;Bretagne;Finistère;Femme;48.2628706879,-4.05692098846;;;;
22;2020-03-28;11;3;4;2;53;FRA;Bretagne;Côtes-d'Armor;Homme;48.4390612443,-2.86206319142;;;;
56;2020-03-29;98;26;79;28;53;FRA;Bretagne;Morbihan;Tous;47.8441455862,-2.8088066223;14;1;3;5
35;2020-03-31;33;4;24;3;53;FRA;Bretagne;Ille-et-Vilaine;Femme;48.1584949366,-1.63554809717;;;;
56;2020-04-05;135;24;113;45;53;FRA;Bretagne;Morbihan;Tous;47.8441455862,-2.8088066223;8;1;5;3
29;2020-04-08;37;9;34;4;53;FRA;Bretagne;Finistère;Femme;48.2628706879,-4.05692098846;;;;
35;2020-04-08;162;46;113;27;53;FRA;Bretagne;Ille-et-Vilaine;Tous;48.1584949366,-1.63554809717;21;4;4;11
29;2020-04-16;68;24;54;14;53;FRA;Bretagne;Finistère;Homme;48.2628706879,-4.05692098846;;;;
22;2020-04-17;72;8;82;23;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443,-2.86206319142;7;0;1;2
