Code du Département;Date;Nb actuellement hospitalisés;Nb actuellement en soins intensifs;Total retour à domicile;Total Décès;Code région;Code ISO 3166 de la zone;Nom région;Nom Département;Sexe;Geo Point;Nb Quotidien Admis Hospitalisation;Nb Quotidien Admis Réanimation;Nb Quotidien Décès;Nb Quotidien Retour à Domicile
29;2020-03-24;11;1;5;4;53;FRA;Bretagne;Finistère;Homme;48.2628706879,-4.05692098846;;;;
35;2020-03-29;51;12;28;5;53;FRA;Bretagne;Ille-et-Vilaine;Homme;48.1584949366,-1.63554809717;;;;
56;2020-03-30;65;27;39;17;53;FRA;Bretagne;Morbihan;Homme;47.8441455862,-2.8088066223;;;;
29;2020-04-01;23;2;21;3;53;FRA;Bretagne;Finistère;Femme;48.2628706879,-4.05692098846;;;;
35;2020-04-10;92;32;78;22;53;FRA;Bretagne;Ille-et-Vilaine;Homme;48.1584949366,-1.63554809717;;;;
29;2020-04-14;46;8;37;7;53;FRA;Bretagne;Finistère;Femme;48.2628706879,-4.05692098846;;;;
35;2020-04-18;76;7;81;25;53;FRA;Bretagne;Ille-et-Vilaine;Femme;48.1584949366,-1.63554809717;;;;
29;2020-04-19;60;19;60;19;53;FRA;Bretagne;Finistère;Homme;48.2628706879,-4.05692098846;;;;
29;2020-04-23;32;6;49;13;53;FRA;Bretagne;Finistère;Femme;48.2628706879,-4.05692098846;;;;
56;2020-04-23;72;19;141;46;53;FRA;Bretagne;Morbihan;Homme;47.8441455862,-2.8088066223;;;;
22;2020-04-24;53;6;116;24;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443,-2.86206319142;2;0;0;3
29;2020-04-24;80;19;121;34;53;FRA;Bretagne;Finistère;Tous;48.2628706879,-4.05692098846;2;1;0;0
29;2020-05-03;31;8;80;23;53;FRA;Bretagne;Finistère;Homme;48.2628706879,-4.05692098846;;;;
56;2020-05-03;55;1;130;32;53;FRA;Bretagne;Morbihan;Femme;47.8441455862,-2.8088066223;;;;
29;2020-03-19;9;4;3;0;53;FRA;Bretagne;Finistère;Homme;48.2628706879,-4.05692098846;;;;
35;2020-03-19;16;8;15;0;53;FRA;Bretagne;Ille-et-Vilaine;Tous;48.1584949366,-1.63554809717;25;7;0;16
22;2020-03-21;2;0;1;1;53;FRA;Bretagne;Côtes-d'Armor;Homme;48.4390612443,-2.86206319142;;;;
56;2020-03-24;26;2;24;7;53;FRA;Bretagne;Morbihan;Femme;47.8441455862,-2.8088066223;;;;
56;2020-03-25;25;1;28;8;53;FRA;Bretagne;Morbihan;Femme;47.8441455862,-2.8088066223;;;;
56;2020-03-27;89;19;67;25;53;FRA;Bretagne;Morbihan;Tous;47.8441455862,-2.8088066223;13;3;4;10
56;2020-03-30;41;2;40;12;53;FRA;Bretagne;Morbihan;Femme;47.8441455862,-2.8088066223;;;;
29;2020-04-02;23;5;25;3;53;FRA;Bretagne;Finistère;Femme;48.2628706879,-4.05692098846;;;;
22;2020-04-05;33;12;10;5;53;FRA;Bretagne;Côtes-d'Armor;Homme;48.4390612443,-2.86206319142;;;;
56;2020-04-05;55;3;60;18;53;FRA;Bretagne;Morbihan;Femme;47.8441455862,-2.8088066223;;;;
22;2020-04-07;32;10;20;7;53;FRA;Bretagne;Côtes-d'Armor;Homme;48.4390612443,-2.86206319142;;;;
29;2020-04-09;109;40;69;11;53;FRA;Bretagne;Finistère;Tous;48.2628706879,-4.05692098846;9;0;0;3
29;2020-04-12;45;8;36;5;53;FRA;Bretagne;Finistère;Femme;48.2628706879,-4.05692098846;;;;
56;2020-04-12;50;4;91;24;53;FRA;Bretagne;Morbihan;Femme;47.8441455862,-2.8088066223;;;;
56;2020-04-14;49;4;95;26;53;FRA;Bretagne;Morbihan;Femme;47.8441455862,-2.8088066223;;;;
22;2020-04-16;69;8;80;22;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443,-2.86206319142;4;0;0;8
35;2020-04-18;101;19;121;31;53;FRA;Bretagne;Ille-et-Vilaine;Homme;48.1584949366,-1.63554809717;;;;
56;2020-03-21;34;8;12;7;53;FRA;Bretagne;Morbihan;Homme;47.8441455862,-2.8088066223;;;;
22;2020-03-26;8;2;1;1;53;FRA;Bretagne;Côtes-d'Armor;Homme;48.4390612443,-2.86206319142;;;;
22;2020-03-26;14;2;2;0;53;FRA;Bretagne;Côtes-d'Armor;Femme;48.4390612443,-2.86206319142;;;;
35;2020-04-02;42;8;27;4;53;FRA;Bretagne;Ille-et-Vilaine;Femme;48.1584949366,-1.63554809717;;;;
29;2020-04-03;26;6;28;3;53;FRA;Bretagne;Finistère;Femme;48.2628706879,-4.05692098846;;;;
22;2020-04-04;62;17;25;10;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443,-2.86206319142;5;1;1;6
35;2020-04-04;48;8;31;7;53;FRA;Bretagne;Ille-et-Vilaine;Femme;48.1584949366,-1.63554809717;;;;
29;2020-04-05;33;8;29;3;53;FRA;Bretagne;Finistère;Femme;48.2628706879,-4.05692098846;;;;
29;2020-04-06;57;31;29;6;53;FRA;Bretagne;Finistère;Homme;48.2628706879,-4.05692098846;;;;
22;2020-04-08;35;3;22;7;53;FRA;Bretagne;Côtes-d'Armor;Femme;48.4390612443,-2.86206319142;;;;
29;2020-04-12;77;30;45;8;53;FRA;Bretagne;Finistère;Homme;48.2628706879,-4.05692098846;;;;
22;2020-04-13;35;3;34;9;53;FRA;Bretagne;Côtes-d'Armor;Femme;48.4390612443,-2.86206319142;;;;
29;2020-04-13;75;29;46;10;53;FRA;Bretagne;Finistère;Homme;48.2628706879,-4.05692098846;;;;
22;2020-04-14;39;7;30;12;53;FRA;Bretagne;Côtes-d'Armor;Homme;48.4390612443,-2.86206319142;;;;
22;2020-04-16;34;6;38;13;53;FRA;Bretagne;Côtes-d'Armor;Homme;48.4390612443,-2.86206319142;;;;
29;2020-04-17;39;8;43;9;53;FRA;Bretagne;Finistère;Femme;48.2628706879,-4.05692098846;;;;
56;2020-04-21;53;3;109;29;53;FRA;Bretagne;Morbihan;Femme;47.8441455862,-2.8088066223;;;;
35;2020-04-23;98;15;138;34;53;FRA;Bretagne;Ille-et-Vilaine;Homme;48.1584949366,-1.63554809717;;;;
35;2020-04-24;69;5;101;32;53;FRA;Bretagne;Ille-et-Vilaine;Femme;48.1584949366,-1.63554809717;;;;
35;2020-05-02;138;14;291;72;53;FRA;Bretagne;Ille-et-Vilaine;Tous;48.1584949366,-1.63554809717;2;1;2;5
56;2020-05-02;124;14;295;81;53;FRA;Bretagne;Morbihan;Tous;47.8441455862,-2.8088066223;3;1;1;4
35;2020-05-03;80;10;171;39;53;FRA;Bretagne;Ille-et-Vilaine;Homme;48.1584949366,-1.63554809717;;;;
35;2020-05-05;55;4;125;36;53;FRA;Bretagne;Ille-et-Vilaine;Femme;48.1584949366,-1.63554809717;;;;
56;2020-05-05;119;14;304;83;53;FRA;Bretagne;Morbihan;Tous;47.8441455862,-2.8088066223;2;0;0;3
35;2020-03-18;3;1;0;0;53;FRA;Bretagne;Ille-et-Vilaine;Femme;48.1584949366,-1.63554809717;;;;
56;2020-03-19;42;12;53;9;53;FRA;Bretagne;Morbihan;Tous;47.8441455862,-2.8088066223;12;1;3;2
35;2020-04-28;150;17;269;69;53;FRA;Bretagne;Ille-et-Vilaine;Tous;48.1584949366,-1.63554809717;6;0;3;9
22;2020-03-20;5;0;3;1;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443,-2.86206319142;0;0;0;0
56;2020-03-22;30;3;17;5;53;FRA;Bretagne;Morbihan;Femme;47.8441455862,-2.8088066223;;;;
29;2020-03-25;19;6;7;4;53;FRA;Bretagne;Finistère;Homme;48.2628706879,-4.05692098846;;;;
22;2020-04-01;47;5;13;6;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443,-2.86206319142;13;2;2;3
35;2020-04-01;72;21;37;6;53;FRA;Bretagne;Ille-et-Vilaine;Homme;48.1584949366,-1.63554809717;;;;
22;2020-04-02;27;5;9;4;53;FRA;Bretagne;Côtes-d'Armor;Femme;48.4390612443,-2.86206319142;;;;
35;2020-04-02;128;38;68;12;53;FRA;Bretagne;Ille-et-Vilaine;Tous;48.1584949366,-1.63554809717;20;5;2;7
29;2020-04-05;82;34;59;9;53;FRA;Bretagne;Finistère;Tous;48.2628706879,-4.05692098846;6;1;1;3
56;2020-04-07;53;3;65;22;53;FRA;Bretagne;Morbihan;Femme;47.8441455862,-2.8088066223;;;;
35;2020-04-11;172;38;135;39;53;FRA;Bretagne;Ille-et-Vilaine;Tous;48.1584949366,-1.63554809717;15;2;3;11
35;2020-04-15;87;12;65;19;53;FRA;Bretagne;Ille-et-Vilaine;Femme;48.1584949366,-1.63554809717;;;;
56;2020-04-17;71;24;123;44;53;FRA;Bretagne;Morbihan;Homme;47.8441455862,-2.8088066223;;;;
29;2020-04-19;101;26;105;30;53;FRA;Bretagne;Finistère;Tous;48.2628706879,-4.05692098846;2;0;0;2
22;2020-05-03;52;4;136;26;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443,-2.86206319142;0;0;0;0
22;2020-05-04;24;2;69;16;53;FRA;Bretagne;Côtes-d'Armor;Homme;48.4390612443,-2.86206319142;;;;
22;2020-04-21;26;4;50;15;53;FRA;Bretagne;Côtes-d'Armor;Homme;48.4390612443,-2.86206319142;;;;
22;2020-04-22;28;4;50;15;53;FRA;Bretagne;Côtes-d'Armor;Homme;48.4390612443,-2.86206319142;;;;
22;2020-04-26;51;6;122;24;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443,-2.86206319142;0;0;0;1
56;2020-04-20;70;21;129;46;53;FRA;Bretagne;Morbihan;Homme;47.8441455862,-2.8088066223;;;;
22;2020-04-21;31;2;51;9;53;FRA;Bretagne;Côtes-d'Armor;Femme;48.4390612443,-2.86206319142;;;;
29;2020-04-27;42;10;72;22;53;FRA;Bretagne;Finistère;Homme;48.2628706879,-4.05692098846;;;;
29;2020-05-04;57;12;134;38;53;FRA;Bretagne;Finistère;Tous;48.2628706879,-4.05692098846;0;0;1;0
29;2020-05-05;30;8;80;24;53;FRA;Bretagne;Finistère;Homme;48.2628706879,-4.05692098846;;;;
22;2020-03-19;2;1;1;0;53;FRA;Bretagne;Côtes-d'Armor;Homme;48.4390612443,-2.86206319142;;;;
29;2020-03-28;20;2;13;1;53;FRA;Bretagne;Finistère;Femme;48.2628706879,-4.05692098846;;;;
22;2020-03-30;14;3;4;3;53;FRA;Bretagne;Côtes-d'Armor;Homme;48.4390612443,-2.86206319142;;;;
22;2020-03-30;25;2;5;0;53;FRA;Bretagne;Côtes-d'Armor;Femme;48.4390612443,-2.86206319142;;;;
29;2020-03-30;54;12;29;6;53;FRA;Bretagne;Finistère;Tous;48.2628706879,-4.05692098846;8;4;1;1
35;2020-03-30;57;14;29;6;53;FRA;Bretagne;Ille-et-Vilaine;Homme;48.1584949366,-1.63554809717;;;;
29;2020-04-02;43;22;22;4;53;FRA;Bretagne;Finistère;Homme;48.2628706879,-4.05692098846;;;;
56;2020-04-02;138;30;95;35;53;FRA;Bretagne;Morbihan;Tous;47.8441455862,-2.8088066223;18;3;3;9
22;2020-04-03;34;12;9;5;53;FRA;Bretagne;Côtes-d'Armor;Homme;48.4390612443,-2.86206319142;;;;
35;2020-04-07;66;13;39;9;53;FRA;Bretagne;Ille-et-Vilaine;Femme;48.1584949366,-1.63554809717;;;;
29;2020-04-09;68;31;34;7;53;FRA;Bretagne;Finistère;Homme;48.2628706879,-4.05692098846;;;;
29;2020-04-11;73;31;44;8;53;FRA;Bretagne;Finistère;Homme;48.2628706879,-4.05692098846;;;;
35;2020-04-13;97;24;89;25;53;FRA;Bretagne;Ille-et-Vilaine;Homme;48.1584949366,-1.63554809717;;;;
29;2020-04-14;120;37;86;19;53;FRA;Bretagne;Finistère;Tous;48.2628706879,-4.05692098846;4;1;3;2
29;2020-04-15;115;34;89;20;53;FRA;Bretagne;Finistère;Tous;48.2628706879,-4.05692098846;1;1;1;3
22;2020-03-28;34;5;6;2;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443,-2.86206319142;6;0;1;3
29;2020-03-30;23;2;16;2;53;FRA;Bretagne;Finistère;Femme;48.2628706879,-4.05692098846;;;;
35;2020-04-01;106;25;62;10;53;FRA;Bretagne;Ille-et-Vilaine;Tous;48.1584949366,-1.63554809717;18;7;1;3
56;2020-04-09;147;33;162;55;53;FRA;Bretagne;Morbihan;Tous;47.8441455862,-2.8088066223;6;1;0;13
22;2020-04-10;35;3;28;8;53;FRA;Bretagne;Côtes-d'Armor;Femme;48.4390612443,-2.86206319142;;;;
22;2020-04-12;34;3;33;9;53;FRA;Bretagne;Côtes-d'Armor;Femme;48.4390612443,-2.86206319142;;;;
56;2020-04-14;127;34;207;65;53;FRA;Bretagne;Morbihan;Tous;47.8441455862,-2.8088066223;8;2;5;7
56;2020-04-16;45;4;100;27;53;FRA;Bretagne;Morbihan;Femme;47.8441455862,-2.8088066223;;;;
35;2020-04-20;175;26;212;60;53;FRA;Bretagne;Ille-et-Vilaine;Tous;48.1584949366,-1.63554809717;3;1;1;2
35;2020-04-21;75;6;85;30;53;FRA;Bretagne;Ille-et-Vilaine;Femme;48.1584949366,-1.63554809717;;;;
56;2020-04-22;69;19;138;46;53;FRA;Bretagne;Morbihan;Homme;47.8441455862,-2.8088066223;;;;
56;2020-04-22;50;2;111;29;53;FRA;Bretagne;Morbihan;Femme;47.8441455862,-2.8088066223;;;;
22;2020-04-29;21;3;63;16;53;FRA;Bretagne;Côtes-d'Armor;Homme;48.4390612443,-2.86206319142;;;;
29;2020-04-30;35;9;76;23;53;FRA;Bretagne;Finistère;Homme;48.2628706879,-4.05692098846;;;;
22;2020-05-01;21;2;66;16;53;FRA;Bretagne;Côtes-d'Armor;Homme;48.4390612443,-2.86206319142;;;;
29;2020-05-01;59;14;133;37;53;FRA;Bretagne;Finistère;Tous;48.2628706879,-4.05692098846;0;0;0;5
22;2020-05-03;29;2;69;10;53;FRA;Bretagne;Côtes-d'Armor;Femme;48.4390612443,-2.86206319142;;;;
29;2020-05-05;57;11;135;38;53;FRA;Bretagne;Finistère;Tous;48.2628706879,-4.05692098846;1;1;0;1
35;2020-03-23;24;12;10;1;53;FRA;Bretagne;Ille-et-Vilaine;Homme;48.1584949366,-1.63554809717;;;;
29;2020-03-24;22;1;14;5;53;FRA;Bretagne;Finistère;Tous;48.2628706879,-4.05692098846;9;3;1;5
29;2020-03-28;48;11;25;5;53;FRA;Bretagne;Finistère;Tous;48.2628706879,-4.05692098846;15;10;0;2
22;2020-03-30;39;5;9;3;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443,-2.86206319142;4;0;0;1
29;2020-03-30;31;10;13;4;53;FRA;Bretagne;Finistère;Homme;48.2628706879,-4.05692098846;;;;
35;2020-04-01;34;4;25;4;53;FRA;Bretagne;Ille-et-Vilaine;Femme;48.1584949366,-1.63554809717;;;;
29;2020-04-04;28;7;28;3;53;FRA;Bretagne;Finistère;Femme;48.2628706879,-4.05692098846;;;;
22;2020-04-08;31;10;23;7;53;FRA;Bretagne;Côtes-d'Armor;Homme;48.4390612443,-2.86206319142;;;;
29;2020-04-08;65;34;31;7;53;FRA;Bretagne;Finistère;Homme;48.2628706879,-4.05692098846;;;;
35;2020-04-08;88;32;72;18;53;FRA;Bretagne;Ille-et-Vilaine;Homme;48.1584949366,-1.63554809717;;;;
22;2020-04-11;69;12;59;18;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443,-2.86206319142;4;1;1;6
22;2020-04-22;29;2;54;9;53;FRA;Bretagne;Côtes-d'Armor;Femme;48.4390612443,-2.86206319142;;;;
22;2020-04-30;21;2;65;16;53;FRA;Bretagne;Côtes-d'Armor;Homme;48.4390612443,-2.86206319142;;;;
35;2020-05-02;81;10;169;37;53;FRA;Bretagne;Ille-et-Vilaine;Homme;48.1584949366,-1.63554809717;;;;
29;2020-04-18;62;19;58;19;53;FRA;Bretagne;Finistère;Homme;48.2628706879,-4.05692098846;;;;
56;2020-04-19;47;4;106;27;53;FRA;Bretagne;Morbihan;Femme;47.8441455862,-2.8088066223;;;;
56;2020-05-05;56;3;134;32;53;FRA;Bretagne;Morbihan;Femme;47.8441455862,-2.8088066223;;;;
29;2020-03-18;5;1;1;0;53;FRA;Bretagne;Finistère;Femme;48.2628706879,-4.05692098846;;;;
22;2020-03-18;1;1;3;0;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443,-2.86206319142;;;;
56;2020-03-19;16;3;31;4;53;FRA;Bretagne;Morbihan;Femme;47.8441455862,-2.8088066223;;;;
35;2020-03-20;4;2;10;0;53;FRA;Bretagne;Ille-et-Vilaine;Femme;48.1584949366,-1.63554809717;;;;
29;2020-03-23;22;1;9;4;53;FRA;Bretagne;Finistère;Tous;48.2628706879,-4.05692098846;7;2;2;0
29;2020-03-29;20;2;16;1;53;FRA;Bretagne;Finistère;Femme;48.2628706879,-4.05692098846;;;;
35;2020-03-31;61;18;35;6;53;FRA;Bretagne;Ille-et-Vilaine;Homme;48.1584949366,-1.63554809717;;;;
56;2020-03-31;45;4;42;12;53;FRA;Bretagne;Morbihan;Femme;47.8441455862,-2.8088066223;;;;
56;2020-04-01;133;32;86;32;53;FRA;Bretagne;Morbihan;Tous;47.8441455862,-2.8088066223;27;6;2;5
22;2020-04-02;59;16;16;9;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443,-2.86206319142;16;9;3;3
29;2020-04-08;102;43;66;11;53;FRA;Bretagne;Finistère;Tous;48.2628706879,-4.05692098846;14;1;2;4
22;2020-04-10;70;11;54;17;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443,-2.86206319142;11;0;1;5
22;2020-04-12;73;12;61;20;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443,-2.86206319142;9;0;2;2
29;2020-04-13;45;8;37;6;53;FRA;Bretagne;Finistère;Femme;48.2628706879,-4.05692098846;;;;
35;2020-04-20;70;5;87;29;53;FRA;Bretagne;Ille-et-Vilaine;Femme;48.1584949366,-1.63554809717;;;;
29;2020-04-23;47;14;71;20;53;FRA;Bretagne;Finistère;Homme;48.2628706879,-4.05692098846;;;;
35;2020-04-25;91;13;151;35;53;FRA;Bretagne;Ille-et-Vilaine;Homme;48.1584949366,-1.63554809717;;;;
22;2020-04-26;29;2;60;9;53;FRA;Bretagne;Côtes-d'Armor;Femme;48.4390612443,-2.86206319142;;;;
22;2020-05-01;25;2;69;9;53;FRA;Bretagne;Côtes-d'Armor;Femme;48.4390612443,-2.86206319142;;;;
29;2020-05-02;27;5;54;14;53;FRA;Bretagne;Finistère;Femme;48.2628706879,-4.05692098846;;;;
35;2020-05-05;132;12;301;75;53;FRA;Bretagne;Ille-et-Vilaine;Tous;48.1584949366,-1.63554809717;1;0;0;5
35;2020-03-19;4;2;9;0;53;FRA;Bretagne;Ille-et-Vilaine;Femme;48.1584949366,-1.63554809717;;;;
29;2020-03-21;11;0;3;0;53;FRA;Bretagne;Finistère;Femme;48.2628706879,-4.05692098846;;;;
22;2020-04-23;54;6;114;24;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443,-2.86206319142;6;0;0;10
35;2020-04-26;91;13;152;35;53;FRA;Bretagne;Ille-et-Vilaine;Homme;48.1584949366,-1.63554809717;;;;
22;2020-05-01;46;4;135;25;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443,-2.86206319142;1;0;0;5
29;2020-05-01;27;5;54;14;53;FRA;Bretagne;Finistère;Femme;48.2628706879,-4.05692098846;;;;
56;2020-05-01;68;12;161;49;53;FRA;Bretagne;Morbihan;Homme;47.8441455862,-2.8088066223;;;;
56;2020-05-03;123;14;298;82;53;FRA;Bretagne;Morbihan;Tous;47.8441455862,-2.8088066223;3;0;1;3
35;2020-05-04;79;10;172;39;53;FRA;Bretagne;Ille-et-Vilaine;Homme;48.1584949366,-1.63554809717;;;;
29;2020-03-22;19;2;9;2;53;FRA;Bretagne;Finistère;Tous;48.2628706879,-4.05692098846;6;0;1;3
56;2020-03-27;61;18;32;15;53;FRA;Bretagne;Morbihan;Homme;47.8441455862,-2.8088066223;;;;
29;2020-03-28;28;9;12;4;53;FRA;Bretagne;Finistère;Homme;48.2628706879,-4.05692098846;;;;
35;2020-03-28;36;12;23;5;53;FRA;Bretagne;Ille-et-Vilaine;Homme;48.1584949366,-1.63554809717;;;;
22;2020-03-31;39;5;10;4;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443,-2.86206319142;4;0;1;1
29;2020-04-01;33;15;20;4;53;FRA;Bretagne;Finistère;Homme;48.2628706879,-4.05692098846;;;;
22;2020-04-04;31;12;10;5;53;FRA;Bretagne;Côtes-d'Armor;Homme;48.4390612443,-2.86206319142;;;;
35;2020-04-05;53;9;31;7;53;FRA;Bretagne;Ille-et-Vilaine;Femme;48.1584949366,-1.63554809717;;;;
29;2020-04-07;94;42;62;9;53;FRA;Bretagne;Finistère;Tous;48.2628706879,-4.05692098846;2;1;0;3
29;2020-04-07;60;33;29;6;53;FRA;Bretagne;Finistère;Homme;48.2628706879,-4.05692098846;;;;
56;2020-04-09;91;30;87;32;53;FRA;Bretagne;Morbihan;Homme;47.8441455862,-2.8088066223;;;;
29;2020-04-10;110;40;78;12;53;FRA;Bretagne;Finistère;Tous;48.2628706879,-4.05692098846;10;1;1;9
29;2020-04-14;73;29;48;12;53;FRA;Bretagne;Finistère;Homme;48.2628706879,-4.05692098846;;;;
56;2020-04-19;118;25;234;73;53;FRA;Bretagne;Morbihan;Tous;47.8441455862,-2.8088066223;2;0;1;0
35;2020-03-22;6;2;10;0;53;FRA;Bretagne;Ille-et-Vilaine;Femme;48.1584949366,-1.63554809717;;;;
22;2020-03-23;9;1;3;1;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443,-2.86206319142;2;0;0;0
22;2020-03-24;3;0;1;1;53;FRA;Bretagne;Côtes-d'Armor;Homme;48.4390612443,-2.86206319142;;;;
56;2020-03-26;60;17;26;13;53;FRA;Bretagne;Morbihan;Homme;47.8441455862,-2.8088066223;;;;
35;2020-03-30;34;3;24;1;53;FRA;Bretagne;Ille-et-Vilaine;Femme;48.1584949366,-1.63554809717;;;;
29;2020-04-01;56;17;41;7;53;FRA;Bretagne;Finistère;Tous;48.2628706879,-4.05692098846;13;6;0;4
56;2020-04-01;57;5;46;13;53;FRA;Bretagne;Morbihan;Femme;47.8441455862,-2.8088066223;;;;
22;2020-04-03;30;5;11;4;53;FRA;Bretagne;Côtes-d'Armor;Femme;48.4390612443,-2.86206319142;;;;
22;2020-04-04;31;5;15;5;53;FRA;Bretagne;Côtes-d'Armor;Femme;48.4390612443,-2.86206319142;;;;
29;2020-04-06;93;40;60;9;53;FRA;Bretagne;Finistère;Tous;48.2628706879,-4.05692098846;3;0;0;1
29;2020-04-06;36;9;30;3;53;FRA;Bretagne;Finistère;Femme;48.2628706879,-4.05692098846;;;;
35;2020-04-07;154;44;104;23;53;FRA;Bretagne;Ille-et-Vilaine;Tous;48.1584949366,-1.63554809717;19;1;3;18
35;2020-04-10;79;10;46;14;53;FRA;Bretagne;Ille-et-Vilaine;Femme;48.1584949366,-1.63554809717;;;;
56;2020-04-11;49;3;90;24;53;FRA;Bretagne;Morbihan;Femme;47.8441455862,-2.8088066223;;;;
22;2020-04-12;39;9;28;11;53;FRA;Bretagne;Côtes-d'Armor;Homme;48.4390612443,-2.86206319142;;;;
35;2020-04-12;84;10;55;15;53;FRA;Bretagne;Ille-et-Vilaine;Femme;48.1584949366,-1.63554809717;;;;
35;2020-04-13;86;11;55;15;53;FRA;Bretagne;Ille-et-Vilaine;Femme;48.1584949366,-1.63554809717;;;;
29;2020-04-24;47;13;71;20;53;FRA;Bretagne;Finistère;Homme;48.2628706879,-4.05692098846;;;;
22;2020-04-29;27;2;65;9;53;FRA;Bretagne;Côtes-d'Armor;Femme;48.4390612443,-2.86206319142;;;;
29;2020-04-30;64;14;128;37;53;FRA;Bretagne;Finistère;Tous;48.2628706879,-4.05692098846;0;0;0;0
22;2020-05-04;52;4;140;26;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443,-2.86206319142;4;0;0;4
22;2020-05-05;24;2;70;16;53;FRA;Bretagne;Côtes-d'Armor;Homme;48.4390612443,-2.86206319142;;;;
22;2020-03-18;0;0;2;0;53;FRA;Bretagne;Côtes-d'Armor;Femme;48.4390612443,-2.86206319142;;;;
35;2020-03-19;12;6;6;0;53;FRA;Bretagne;Ille-et-Vilaine;Homme;48.1584949366,-1.63554809717;;;;
